ID,Name,English,On,Off,Total,Daily,Point,Address,tm2_x,tm2_y,latitude,longitude
A03,七堵,Qidu,"2,283,407","2,287,588","4,570,995",12523.0,Point (322051.9469999996945262 2776285.678999999538064),基隆市七堵區長興里東新街2號之1,322051.9469999997,2776285.6789999995,25.093150892661026,121.71433728105139
A014,三坑,Sankeng,"538,602","568,292","1,106,894",3033.0,Point (324822.5669999998062849 2779632.99799999967217445),基隆市仁愛區龍安街206號,324822.5669999998,2779632.9979999997,25.123233988237764,121.74198633043898
A91,三塊厝,Sankuaicuo,"238,549","255,806","494,355",1354.0,Point (177450.41690000033122487 2504517.47609999915584922),高雄市三民區康平街1號,177450.41690000033,2504517.476099999,22.639325223744073,120.29415806330611
A294,三姓橋,Sanxingqiao,"499,236","464,019","963,255",2639.0,Point (242769.42999999970197678 2742218.89599999971687794),新竹市香山區元培街32巷30號,242769.4299999997,2742218.8959999997,24.78728321834667,120.92849027813601
M24,三民,Sanmin,"3,784","4,432","8,216",23.0,Point (285293.93870000098831952 2591334.67770000081509352),花蓮縣玉里鎮三民里三民10號,285293.938700001,2591334.677700001,23.42451686905529,121.34537791413847
T06,三義,Sanyi,"272,890","276,788","549,678",1506.0,Point (227080.32799999974668026 2701626.73100000061094761),苗栗縣三義鄉雙湖村雙湖90號,227080.32799999975,2701626.7310000006,24.420630565689844,120.77398634151825
E05,三貂嶺,Sandiaoling,"65,619","61,684","127,303",349.0,Point (332984.60900000017136335 2773287.80700000002980232),新北市瑞芳區碩仁里魚寮路1號,332984.6090000002,2773287.807,25.06552659965305,121.82253676417811
V02,上員,Shangyuan,"26,575","26,980","53,555",147.0,Point (255641.45100000035017729 2741164.01899999938905239),新竹縣竹東鎮上員里光明路(無站房),255641.45100000035,2741164.0189999994,24.777765794602637,121.05578921878475
A20,中壢,Zhongli,"8,951,495","9,116,328","18,067,823",49501.0,Point (272715.63850000035017729 2760628.83999999985098839),,272715.63850000035,2760628.84,24.95334535448719,121.22495576329558
A81,中洲,Zhongzhou,"140,307","139,553","279,860",767.0,Point (173341.22809999997843988 2533905.82349999900907278),臺南市仁德區中洲路298-1號,173341.22809999998,2533905.823499999,22.904527669773014,120.25273854485157
