ID,Name,English,On,Off,Total,Daily
A01,基隆,Keelung,"3,513,094","3,301,746","6,814,840",18671
A014,三坑,Sankeng,"538,602","568,292","1,106,894",3033
A02,八堵,Badu,"895,739","802,667","1,698,406",4653
A03,七堵,Qidu,"2,283,407","2,287,588","4,570,995",12523
A034,百福,Baifu,"959,807","950,968","1,910,775",5235
A05,五堵,Wudu,"890,394","714,984","1,605,378",4398
A06,汐止,Xizhi,"3,910,777","4,060,552","7,971,329",21839
A064,汐科,Xike,"4,268,747","4,324,223","8,592,970",23542
A07,南港,Nangang,"5,458,735","5,758,085","11,216,820",30731
A08,松山,Songshan,"6,503,705","6,596,869","13,100,574",35892
A10,臺北,Taipei,"22,598,749","22,107,980","44,706,729",122484
A11,萬華,Wanhua,"1,839,420","1,817,102","3,656,522",10018
A13,板橋,Banqiao,"8,710,983","8,776,950","17,487,933",47912
A144,浮洲,Fuzhou,"1,249,496","1,192,380","2,441,876",6690
A15,樹林,Shulin,"5,237,294","5,262,468","10,499,762",28766
A154,南樹林,SouthShulin,"507,702","492,615","1,000,317",2741
A16,山佳,Shanjia,"628,134","616,802","1,244,936",3411
A17,鶯歌,Yingge,"3,271,191","3,270,287","6,541,478",17922
A175,鳳鳴,Fengming,"53,552","52,592","106,144",291
A18,桃園,Taoyuan,"10,057,686","10,351,022","20,408,708",55914
A19,內壢,Neili,"3,638,850","3,563,087","7,201,937",19731
A20,中壢,Zhongli,"8,951,495","9,116,328","18,067,823",49501
A21,埔心,Puxin,"2,207,548","2,168,636","4,376,184",11990
A22,楊梅,Yangmei,"1,920,043","1,846,526","3,766,569",10319
A24,富岡,Fugang,"667,014","661,786","1,328,800",3641
A242,新富,Xinfu,"133,528","133,311","266,839",731
A244,北湖,Beihu,"341,317","341,325","682,642",1870
A25,湖口,Hukou,"1,327,969","1,342,334","2,670,303",7316
A26,新豐,Xinfeng,"2,131,295","2,166,030","4,297,325",11773
A27,竹北,Zhubei,"2,159,454","2,165,300","4,324,754",11849
A274,北新竹,NorthHsinchu,"1,021,514","1,046,098","2,067,612",5665
A29,新竹,Hsinchu,"7,379,627","7,401,663","14,781,290",40497
A294,三姓橋,Sanxingqiao,"499,236","464,019","963,255",2639
A30,香山,Xiangshan,"239,909","228,779","468,688",1284
A31,崎頂,Qiding,"115,818","109,800","225,618",618
A32,竹南,Zhunan,"3,210,023","3,247,080","6,457,103",17691
A33,談文,Tanwen,"19,380","16,620","36,000",99
A34,大山,Dashan,"29,790","31,200","60,990",167
A35,後龍,Houlong,"423,480","405,184","828,664",2270
A36,龍港,Longgang,"12,091","11,850","23,941",66
A37,白沙屯,Baishatun,"329,391","340,149","669,540",1834
A38,新埔,Xinpu,"26,830","29,074","55,904",153
A39,通霄,Tongxiao,"322,303","312,628","634,931",1740
A40,苑裡,Yuanli,"579,321","572,462","1,151,783",3156
A41,日南,Rinan,"122,641","121,708","244,349",669
A42,大甲,Dajia,"1,086,687","1,092,627","2,179,314",5971
A43,臺中港,TaichungPort,"43,221","48,664","91,885",252
A44,清水,Qingshui,"510,912","503,189","1,014,101",2778
A45,沙鹿,Shalu,"1,040,012","1,017,073","2,057,085",5636
A46,龍井,Longjing,"190,820","188,687","379,507",1040
A47,大肚,Dadu,"279,725","277,914","557,639",1528
A48,追分,Zhuifen,"271,916","95,961","367,877",1008
A49,彰化,Changhua,"4,847,635","4,924,230","9,771,865",26772
A50,花壇,Huatan,"444,914","466,855","911,769",2498
A504,大村,Dacun,"308,669","319,175","627,844",1720
A51,員林,Yuanlin,"2,723,078","2,772,236","5,495,314",15056
A52,永靖,Yongjing,"206,213","209,066","415,279",1138
A53,社頭,Shetou,"408,290","414,858","823,148",2255
A54,田中,Tianzhong,"882,490","887,789","1,770,279",4850
A55,二水,Ershui,"378,733","378,079","756,812",2073
A56,林內,Linnei,"293,980","296,808","590,788",1619
A57,石榴,Shiliu,"81,285","79,306","160,591",440
A58,斗六,Douliu,"2,042,255","2,041,106","4,083,361",11187
A59,斗南,Dounan,"747,390","745,576","1,492,966",4090
A60,石龜,Shigui,"51,765","50,276","102,041",280
A61,大林,Dalin,"619,610","612,216","1,231,826",3375
A62,民雄,Minxiong,"710,661","703,670","1,414,331",3875
A624,嘉北,Jiabei,"266,929","274,089","541,018",1482
A63,嘉義,Chiayi,"3,624,532","3,613,488","7,238,020",19830
A66,水上,Shuishang,"245,807","238,491","484,298",1327
A67,南靖,Nanjing,"74,355","73,630","147,985",405
A68,後壁,Houbi,"219,105","218,456","437,561",1199
A69,新營,Xinying,"1,849,718","1,859,391","3,709,109",10162
A70,柳營,Liuying,"287,221","273,479","560,700",1536
A71,林鳳營,Linfengying,"199,187","197,027","396,214",1086
A72,隆田,Longtian,"483,598","483,449","967,047",2649
A73,拔林,Balin,"65,199","62,291","127,490",349
A74,善化,Shanhua,"1,231,684","1,234,741","2,466,425",6757
A744,南科,Nanke,"524,129","481,714","1,005,843",2756
A75,新市,Xinshi,"815,074","799,749","1,614,823",4424
A76,永康,Yongkang,"1,133,218","1,115,371","2,248,589",6161
A764,大橋,Daqiao,"1,354,443","1,322,890","2,677,333",7335
A77,臺南,Tainan,"9,076,852","9,272,964","18,349,816",50273
A80,保安,Bao'an,"565,339","584,952","1,150,291",3151
A804,仁德,Rende,"301,269","303,263","604,532",1656
A81,中洲,Zhongzhou,"140,307","139,553","279,860",767
A82,大湖,Dahu,"619,099","587,537","1,206,636",3306
A83,路竹,Luzhu,"593,857","606,602","1,200,459",3289
A85,岡山,Gangshan,"976,138","1,017,911","1,994,049",5463
A86,橋頭,Qiaotou,"510,625","572,276","1,082,901",2967
A87,楠梓,Nanzi,"870,233","846,625","1,716,858",4704
A874,新左營,Xinzuoying,"4,569,093","4,567,775","9,136,868",25033
A88,左營,Zuoying,"290,010","287,708","577,718",1583
A884,內惟,Neiwei,"335,018","343,177","678,195",1858
A888,美術館,MuseumofFineArts,"507,068","531,993","1,039,061",2847
