Point,Name,Address
Point (235065.03000000026077032 2634933.01700000092387199),水里,南投縣水里鄉民生路442號
Point (228086.17100000008940697 2635820.375),集集,南投縣集集鎮民生路75號
Point (236316.34200000017881393 2636485.03399999998509884),車埕,南投縣水里鄉車埕村民權巷2號
Point (219917.02099999971687794 2636740.00599999912083149),濁水,南投縣名間鄉濁水村路15號
Point (224543.86880000028759241 2636799.90269999951124191),龍泉,南投縣集集鎮隘寮村(無站房)
Point (319988.66199999954551458 2774590.27999999932944775),百福,基隆市七堵區明德三路1之1號
Point (322051.9469999996945262 2776285.678999999538064),七堵,基隆市七堵區長興里東新街2號之1
Point (324699.76599999982863665 2777298.52099999971687794),暖暖,基隆市暖暖區暖暖街51號
Point (323509.76099999994039536 2777976.18099999986588955),八堵,基隆市暖暖區八南里八堵路142號
Point (324822.5669999998062849 2779632.99799999967217445),三坑,基隆市仁愛區龍安街206號
Point (324464.74700000043958426 2780588.14420000091195107),基隆,
Point (330956.16399999987334013 2781007.60500000044703484),八斗子,基隆市中正區/新北市瑞芳區交界處(無站房)
Point (330650.17599999997764826 2781255.26400000043213367),海科館,基隆市中正區(無站房)
Point (327967.61400000005960464 2692386.36500000022351742),漢本,宜蘭縣南澳鄉澳花村蘇花路一段56號
Point (328659.63599999994039536 2704988.64900000020861626),武塔,宜蘭縣南澳鄉武塔村新溪路18號
Point (331205.78100000042468309 2706574.18200000002980232),南澳,宜蘭縣蘇澳鎮南強里大通路22號
Point (334173.79399999976158142 2712669.47100000083446503),東澳,宜蘭縣南澳鄉東岳村1號
Point (335544.47800000011920929 2718232.59100000001490116),永樂,宜蘭縣蘇澳鎮永樂里圳頭路60號
Point (336229.81199999991804361 2721201.27400000020861626),蘇澳,宜蘭縣蘇澳鎮蘇南里太平路1號
Point (333768.17399999964982271 2722688.4140000008046627),蘇澳新,宜蘭縣蘇澳鎮聖愛里中山路二段238號
Point (333322.63300000037997961 2723428.15200000070035458),新馬,宜蘭縣蘇澳鎮中山路二段322號
Point (330208.1380000002682209 2725746.61299999989569187),冬山,宜蘭縣冬山鄉冬山村中正路1之2號
Point (328367.67100000008940697 2730321.91499999910593033),羅東,宜蘭縣羅東鎮大新里公正路2號
Point (328449.64199999999254942 2732176.70099999941885471),中里,宜蘭縣五結鄉台興路10號
Point (328332.80099999997764826 2733356.96000000089406967),二結,宜蘭縣五結鄉五結中路三段658巷8號
Point (326666.8619999997317791 2738812.06599999964237213),宜蘭,宜蘭縣宜蘭市和睦里光復路1號
Point (327121.20000000018626451 2742381.15699999965727329),四城,宜蘭縣礁溪鄉吳沙村站前路24號
Point (328368.92999999970197678 2746839.99699999950826168),礁溪,宜蘭縣礁溪鄉德陽村溫泉路1號
Point (331775.53799999970942736 2748731.19700000062584877),頂埔,宜蘭縣頭城鎮下埔里下埔路4之8號
Point (333116.071000000461936 2750398.34100000001490116),頭城,宜蘭縣頭城鎮城北里纘祥路59號
Point (335467.26499999966472387 2753181.62900000065565109),外澳,宜蘭縣頭城鎮外澳里濱海路二段217號
Point (337774.15099999960511923 2755521.00799999944865704),龜山,宜蘭縣頭城鎮更新里濱海路三段261號
Point (339865.51499999966472387 2759246.1830000001937151),大溪,宜蘭縣頭城鎮大溪里濱海路五段63號
Point (343146.79999999981373549 2762409.59100000001490116),大里,宜蘭縣頭城鎮大里里濱海路六段326號
Point (345414.17499999981373549 2763708.02400000020861626),石城,宜蘭縣頭城鎮濱海路七段230號
Point (213523.66009999997913837 2632747.45509999990463257),源泉,彰化縣二水鄉合興村英義路(無站房)
Point (211087.26040000002831221 2634389.57650000043213367),二水,彰化縣二水鄉光文路1號
Point (208372.27560000028461218 2639388.24719999916851521),田中,彰化縣田中鎮中州路一段1號
Point (207310.89169999957084656 2643537.36989999935030937),社頭,彰化縣社頭鄉廣興村社站路10號
Point (206400.87770000007003546 2647115.32349999994039536),永靖,彰化縣永靖鄉崙子村永崙路25號
Point (206211.39030000008642673 2650589.53500000014901161),員林,彰化縣員林市民權街55號
Point (205296.42709999997168779 2653991.60610000044107437),大村,彰化縣大村鄉過溝村福進路100號
Point (202942.43439999967813492 2657870.49129999987781048),花壇,彰化縣花壇鄉中正路370號
Point (203072.06639999989420176 2664138.00980000011622906),彰化,彰化縣彰化市三民路1號
Point (285866.17499999981373549 2760788.20500000007450581),鶯歌,新北市鶯歌區東鶯里文化路68之1號
Point (283983.71750000026077032 2762789.15029999986290932),鳳鳴,
Point (289636.25999999977648258 2762808.98000000044703484),山佳,新北市樹林區中山里中山路三段108號
Point (291274.99199999962002039 2763681.38399999961256981),南樹林,新北市樹林區中山里中山路二段230號
Point (292880.72499999962747097 2764879.36999999918043613),樹林,新北市樹林區樹北里鎮前街112號
Point (294882.67599999997764826 2766317.66999999992549419),浮洲,新北市板橋區僑中二街156號
Point (296853.96300000045448542 2767433.76700000092387199),板橋,新北市板橋區縣民大道二段7號
Point (345347.83999999985098839 2767872.35199999995529652),福隆,新北市貢寮區福隆里福隆街2號
Point (341712.15699999965727329 2768522.82499999925494194),貢寮,新北市貢寮區貢寮里朝陽街33號
Point (323050.88300000037997961 2768640.14599999971687794),菁桐,新北市平溪區菁桐街52號
Point (324683.12999999988824129 2768813.48100000061094761),平溪,新北市平溪區中華街12號
Point (325485.58899999968707561 2769325.69500000029802322),嶺腳,新北市平溪區嶺腳街22號
Point (327078.54999999981373549 2769824.83999999985098839),望古,新北市平溪區(無站房)
Point (337442.20199999958276749 2770331.52099999971687794),雙溪,新北市雙溪區新基里朝陽街1號
Point (328207.39300000015646219 2770543.35199999995529652),十分,新北市平溪區十分街51號
Point (330478.13700000010430813 2771532.79700000025331974),大華,新北市平溪區六分路12之1號
Point (335962.46300000045448542 2772550.09300000034272671),牡丹,新北市雙溪區牡丹里16鄰牡丹路159號
Point (315244.43699999991804361 2772864.25599999912083149),汐科,新北市汐止區大同路二段182號
Point (332984.60900000017136335 2773287.80700000002980232),三貂嶺,新北市瑞芳區碩仁里魚寮路1號
Point (316789.11000000033527613 2773532.7109999991953373),汐止,新北市汐止區信望里信義路1號
Point (317349.01200000010430813 2774570.83799999952316284),五堵,新北市汐止區長安里長安路17號
Point (333470.59499999973922968 2775651.16799999959766865),猴硐,新北市瑞芳區光復里柴寮路70號
Point (326845.54899999964982271 2777379.04499999992549419),四腳亭,新北市瑞芳區吉慶里中央路65號
